image src, ratio, largura na pagina, largura real da imagem
https://www.breyers.com/sk-eu/content/dam/brands/breyers/united_states_ofamerica/1089023-077567395269-top-down.png.rendition.767.767.png,0.07,60,767
https://www.breyers.com/sk-eu/content/dam/brands/breyers/united_states_ofamerica/1041850-077567603005-grade-a-flag.png.rendition.767.767.png,0.07,60,767
https://www.breyers.com/sk-eu/content/dam/brands/breyers/united_states_ofamerica/1046527-077567283238-pledge-logo.png.rendition.767.767.png,0.07,60,767
https://www.breyers.com/sk-eu/content/dam/brands/breyers/united_states_ofamerica/1089045-077567306623-top-down-clean.png.rendition.767.767.png,1.95,1500,767
https://www.breyers.com/sk-eu/content/dam/brands/breyers/united_states_ofamerica/1089045-077567306623-top-down-clean.png.rendition.767.767.png,0.07,60,767
https://www.breyers.com/sk-eu/content/dam/brands/breyers/united_states_ofamerica/1089031-077567395269.png.rendition.767.767.png,0.07,60,767
https://www.breyers.com/sk-eu/content/dam/brands/breyers/united_states_ofamerica/1041850-077567603005-grade-a-flag.png.rendition.767.767.png,0.07,60,767
https://www.breyers.com/sk-eu/content/dam/brands/breyers/united_states_ofamerica/1046527-077567283238-pledge-logo.png.rendition.767.767.png,0.07,60,767
https://www.breyers.com/sk-eu/content/dam/brands/breyers/united_states_ofamerica/1089150-077567274700-top-down-clean.png.rendition.767.767.png,1.95,1500,767
https://www.breyers.com/sk-eu/content/dam/brands/breyers/united_states_ofamerica/1089150-077567274700-top-down-clean.png.rendition.767.767.png,0.07,60,767
https://www.breyers.com/sk-eu/content/dam/brands/breyers/united_states_ofamerica/1089159-077567274700.png.rendition.767.767.png,0.07,60,767
https://www.breyers.com/sk-eu/content/dam/brands/breyers/united_states_ofamerica/1089158-077567274700.png.rendition.767.767.png,0.07,60,767
https://www.breyers.com/sk-eu/content/dam/brands/breyers/united_states_ofamerica/1089154-077567274700.png.rendition.767.767.png,0.07,60,767
https://www.breyers.com/sk-eu/content/dam/brands/breyers/united_states_ofamerica/1089152-077567274700.png.rendition.767.767.png,0.07,60,767
https://www.breyers.com/sk-eu/content/dam/brands/breyers/united_states_ofamerica/1089149-077567274700.png.rendition.767.767.png,0.07,60,767
https://www.breyers.com/sk-eu/content/dam/brands/breyers/united_states_ofamerica/1089151-077567274700-top-down.png.rendition.767.767.png,0.07,60,767
https://www.breyers.com/sk-eu/content/dam/brands/breyers/united_states_ofamerica/1041850-077567603005-grade-a-flag.png.rendition.767.767.png,0.07,60,767
https://www.breyers.com/sk-eu/content/dam/brands/breyers/united_states_ofamerica/1088969-077567000620-non-gmo-sourced.png.rendition.767.767.png,0.07,60,767
https://www.breyers.com/sk-eu/content/dam/brands/breyers/brazil/1333599-077567000651-topdown-clean.jpg.rendition.1960.1960.jpg,0.49,245,500
https://www.breyers.com/sk-eu/content/dam/brands/breyers/north_america/1202282-077567001160-top-down.png.rendition.1960.1960.png,0.18,245,1338
https://www.breyers.com/sk-eu/content/dam/brands/breyers/united_states_ofamerica/1131876-077567000644.png.rendition.1960.1960.png,0.18,245,1338
https://www.breyers.com/sk-eu/content/dam/brands/breyers/united_states_ofamerica/1048123-077567001320-top-down-clean.png.rendition.1960.1960.png,0.18,245,1338
https://www.breyers.com/sk-eu/content/dam/brands/breyers/united_states_ofamerica/876999-delights-cookies---cream-front-of-pack-w-top.png.rendition.1960.1960.png,0.18,245,1338
https://www.breyers.com/sk-eu/content/dam/brands/breyers/united_states_ofamerica/877206-delights-vanilla-bean-front-of-pack.png.rendition.1960.1960.png,0.18,245,1338
https://www.breyers.com/sk-eu/content/dam/brands/breyers/united_states_ofamerica/1048144-077567001313-top-down-clean.png.rendition.1960.1960.png,0.18,245,1338
https://www.breyers.com/sk-eu/content/dam/brands/breyers/united_states_ofamerica/1003764-077567001139-top-down-clean.png.rendition.1960.1960.png,0.18,245,1338


 page: https://www.breyers.com/us/en/recipes.html 

https://www.breyers.com/sk-eu/content/dam/brands/breyers/north_america/1189979-breyers-feature-content-v1.jpg.rendition.767.767.jpg,0.49,638,1280
https://scm-assets.constant.co/scm/unilever/2bb5223be0548fcc55c230aa5f951219/d439dbff-09c0-40e4-88f7-79632d55f2f9.png,0.16,242,1440
https://scm-assets.constant.co/scm/unilever/2bb5223be0548fcc55c230aa5f951219/96f24bcd-a59f-42d7-86d7-07ab0b95340f.jpg,0.16,242,1440
https://scm-assets.constant.co/scm/unilever/2bb5223be0548fcc55c230aa5f951219/6f6e3556-1c67-4a9b-b549-7e647957045f.jpg,0.16,242,1440
https://scm-assets.constant.co/scm/unilever/2bb5223be0548fcc55c230aa5f951219/4a69a104-81de-43ad-ac71-3af189153603.jpg,0.16,242,1440
https://scm-assets.constant.co/scm/unilever/2bb5223be0548fcc55c230aa5f951219/c9576d9d-12bd-4caa-af78-e261ee307333.jpg,0.16,242,1440
https://scm-assets.constant.co/scm/unilever/2bb5223be0548fcc55c230aa5f951219/79267cba-3dbc-4cdb-bdc7-3f055df04645.jpg,0.16,242,1440
